prefecture,city,ward,population
Hokkaido,Sapporo,"",1936016
Hokkaido,Sapporo,Chuo-ku,226964
Hokkaido,Sapporo,Kita-ku,282391
Hokkaido,Sapporo,Higashi-ku,258390
Hokkaido,Sapporo,Shiroishi-ku,210000
Hokkaido,Sapporo,Toyohira-ku,218120
Hokkaido,Sapporo,Minami-ku,141745
Hokkaido,Sapporo,Nishi-ku,212284
Hokkaido,Sapporo,Atsubetsu-ku,129494
Hokkaido,Sapporo,Teine-ku,141284
Hokkaido,Sapporo,Kiyota-ku,115344
Hokkaido,Hakodate,"",271479
Hokkaido,Otaru,"",125028
Hokkaido,Asahikawa,"",347207
Hokkaido,Muroran,"",89799
Hokkaido,Kushiro,"",178394
Hokkaido,Obihiro,"",168753
Hokkaido,Kitami,"",122198
Hokkaido,Yubari,"",9440
Hokkaido,Iwamizawa,"",86054
Hokkaido,Abashiri,"",37740
Hokkaido,Rumoi,"",22957
Hokkaido,Tomakomai,"",174064
Hokkaido,Wakkanai,"",36827
Hokkaido,Bibai,"",23984
Hokkaido,Ashibetsu,"",15404
Hokkaido,Ebetsu,"",120225
Hokkaido,Akabira,"",11383
Hokkaido,Mombetsu,"",23644
Hokkaido,Shibetsu,"",20676
Hokkaido,Nayoro,"",29099
Hokkaido,Mikasa,"",9519
Hokkaido,Nemuro,"",28050
Hokkaido,Chitose,"",95532
Hokkaido,Takikawa,"",41924
Hokkaido,Sunagawa,"",18112
Hokkaido,Utashinai,"",3833
Hokkaido,Fukagawa,"",22278
Hokkaido,Furano,"",23324
Hokkaido,Noboribetsu,"",50571
Hokkaido,Eniwa,"",68956
Hokkaido,Date,"",35802
Hokkaido,Kitahiroshima,"",59629
Hokkaido,Ishikari,"",59362
Hokkaido,Hokuto,"",47967
"",Hokuto,"",""
Aomori-ken,Aomori,"",295898
Aomori-ken,Hirosaki,"",178886
Aomori-ken,Hachinohe,"",237550
Aomori-ken,Kuroishi,"",35399
Aomori-ken,Goshogawara,"",58109
Aomori-ken,Towada,"",64041
Aomori-ken,Misawa,"",41486
Aomori-ken,Mutsu,"",61568
Aomori-ken,Tsugaru,"",35036
Aomori-ken,Hirakawa,"",32828
"",Hirakawa,"",""
Iwate-ken,Morioka,"",295170
Iwate-ken,Miyako,"",56795
Iwate-ken,Ofunato,"",38896
Iwate-ken,Hanamaki,"",99773
Iwate-ken,Kitakami,"",93769
Iwate-ken,Kuji,"",37103
Iwate-ken,Tono,"",29107
Iwate-ken,Ichinoseki,"",124344
Iwate-ken,Rikuzentakata,"",20392
Iwate-ken,Kamaishi,"",36425
Iwate-ken,Ninohe,"",28943
Iwate-ken,Hachimantai,"",27647
Iwate-ken,Oshu,"",122421
Iwate-ken,Takizawa,"",55178
"",Takizawa,"",""
Miyagi-ken,Sendai,"",1053509
Miyagi-ken,Sendai,Aoba-ku,291285
Miyagi-ken,Sendai,Miyagino-ku,188194
Miyagi-ken,Sendai,Wakabayashi-ku,130888
Miyagi-ken,Sendai,Taihaku-ku,226003
Miyagi-ken,Sendai,Izumi-ku,217139
Miyagi-ken,Ishinomaki,"",149874
Miyagi-ken,Shiogama,"",56002
Miyagi-ken,Kesennuma,"",67657
Miyagi-ken,Shiroishi,"",36124
Miyagi-ken,Natori,"",76107
Miyagi-ken,Kakuda,"",30753
Miyagi-ken,Tagajo,"",62437
Miyagi-ken,Iwanuma,"",44071
Miyagi-ken,Tome,"",83763
Miyagi-ken,Kurihara,"",72721
Miyagi-ken,Higashimatsushima,"",40201
Miyagi-ken,Osaki,"",134760
"",Osaki,"",""
Akita-ken,Akita,"",319084
Akita-ken,Noshiro,"",56991
Akita-ken,Yokote,"",95939
Akita-ken,Odate,"",76769
Akita-ken,Oga,"",30239
Akita-ken,Yuzawa,"",48956
Akita-ken,Kazuno,"",33293
Akita-ken,Yurihonjo,"",81961
Akita-ken,Katagami,"",33928
Akita-ken,Daisen,"",86644
Akita-ken,Kitaakita,"",34807
Akita-ken,Nikaho,"",26455
Akita-ken,Semboku,"",28604
"",Semboku,"",""
Yamagata-ken,Yamagata,"",250573
Yamagata-ken,Yonezawa,"",84945
Yamagata-ken,Tsuruoka,"",133153
Yamagata-ken,Sakata,"",108098
Yamagata-ken,Shinjo,"",37725
Yamagata-ken,Sagae,"",42312
Yamagata-ken,Kaminoyama,"",32290
Yamagata-ken,Murayama,"",26005
Yamagata-ken,Nagai,"",28271
Yamagata-ken,Tendo,"",62171
Yamagata-ken,Higashine,"",47797
Yamagata-ken,Obanazawa,"",17762
Yamagata-ken,Nanyo,"",32959
"",Nanyo,"",""
Fukushima-ken,Fukushima,"",284948
Fukushima-ken,Aizuwakamatsu,"",123790
Fukushima-ken,Koriyama,"",326808
Fukushima-ken,Iwaki,"",333802
Fukushima-ken,Shirakawa,"",63186
Fukushima-ken,Sukagawa,"",78299
Fukushima-ken,Kitakata,"",50829
Fukushima-ken,Soma,"",35985
Fukushima-ken,Nihonmatsu,"",57673
Fukushima-ken,Tamura,"",39484
Fukushima-ken,Minamisoma,"",64539
Fukushima-ken,Date,"",63755
Fukushima-ken,Motomiya,"",30857
"",Motomiya,"",""
Ibaraki-ken,Mito,"",273046
Ibaraki-ken,Hitachi,"",188938
Ibaraki-ken,Tsuchiura,"",144927
Ibaraki-ken,Koga,"",145214
Ibaraki-ken,Ishioka,"",78221
Ibaraki-ken,Yuki,"",52830
Ibaraki-ken,Ryugasaki,"",79125
Ibaraki-ken,Shimotsuma,"",45001
Ibaraki-ken,Joso,"",65370
Ibaraki-ken,Hitachiota,"",55495
Ibaraki-ken,Takahagi,"",30421
Ibaraki-ken,Kitaibaraki,"",45942
Ibaraki-ken,Kasama,"",78557
Ibaraki-ken,Toride,"",109348
Ibaraki-ken,Ushiku,"",84378
Ibaraki-ken,Tsukuba,"",220622
Ibaraki-ken,Hitachinaka,"",159480
Ibaraki-ken,kashima,"",68142
Ibaraki-ken,Itako,"",29441
Ibaraki-ken,Moriya,"",64894
Ibaraki-ken,Hitachiomiya,"",44708
Ibaraki-ken,Naka,"",55779
Ibaraki-ken,Chikusei,"",108789
Ibaraki-ken,Bando,"",56429
Ibaraki-ken,Inashiki,"",44242
Ibaraki-ken,Kasumigaura,"",43575
Ibaraki-ken,Sakuragawa,"",45039
Ibaraki-ken,Kamisu,"",94520
Ibaraki-ken,Namegata,"",37299
Ibaraki-ken,Hokota,"",50789
Ibaraki-ken,Tsukubamirai,"",49024
Ibaraki-ken,Omitama,"",52896
"",Omitama,"",""
Tochigi-ken,Utsunomiya,"",520462
Tochigi-ken,Ashikaga,"",153178
Tochigi-ken,Tochigi,"",164066
Tochigi-ken,Sano,"",121966
Tochigi-ken,Kanuma,"",100716
Tochigi-ken,Nikko,"",87116
Tochigi-ken,Oyama,"",165842
Tochigi-ken,Moka,"",81311
Tochigi-ken,Ohtawara,"",73284
Tochigi-ken,Yaita,"",34114
Tochigi-ken,Nasushiobara,"",118516
Tochigi-ken,Sakura,"",44362
Tochigi-ken,Nasukarasuyama,"",28509
Tochigi-ken,Shimotsuke,"",60235
"",Shimotsuke,"",""
Gumma-ken,Maebashi,"",339956
Gumma-ken,Ako,"",49944
Gumma-ken,Takasaki,"",375341
Gumma-ken,Kiryu,"",118525
Gumma-ken,Isesaki,"",211297
Gumma-ken,Ota,"",222130
Gumma-ken,Numata,"",50879
Gumma-ken,Tatebayashi,"",78086
Gumma-ken,Shibukawa,"",81609
Gumma-ken,Fujioka,"",67936
Gumma-ken,Tomioka,"",50899
Gumma-ken,Annaka,"",61031
Gumma-ken,Midori,"",51887
Saitama-ken,Saitama,"",1260879
Saitama-ken,Saitama,Nishi-ku,86386
Saitama-ken,Saitama,Kita-ku,145204
Saitama-ken,Saitama,Omiya-ku,114112
Saitama-ken,Saitama,Minuma-ku,160501
Saitama-ken,Saitama,Chuo-ku,98239
Saitama-ken,Saitama,Sakura-ku,95584
Saitama-ken,Saitama,Urawa-ku,153141
Saitama-ken,Saitama,Minami-ku,178712
Saitama-ken,Saitama,Midori-ku,117843
Saitama-ken,Saitama,Iwatsuki-ku,111157
Saitama-ken,Kawagoe,"",349378
Saitama-ken,Kumagaya,"",201627
Saitama-ken,Kawaguchi,"",589205
Saitama-ken,Gyoda,"",84363
Saitama-ken,Chichibu,"",66073
Saitama-ken,Tokorozawa,"",343083
Saitama-ken,Hanno,"",80823
Saitama-ken,Kazo,"",114963
Saitama-ken,Honjo,"",79464
Saitama-ken,Higashimatsuyama,"",89402
Saitama-ken,Kasukabe,"",237723
Saitama-ken,Sayama,"",154288
Saitama-ken,Hanyu,"",55886
Saitama-ken,Konosu,"",119301
Saitama-ken,Fukaya,"",145695
Saitama-ken,Ageo,"",227897
Saitama-ken,Soka,"",245389
Saitama-ken,Koshigaya,"",333736
Saitama-ken,Warabi,"",72317
Saitama-ken,Toda,"",132880
Saitama-ken,Iruma,"",149952
Saitama-ken,Asaka,"",134132
Saitama-ken,Shiki,"",73443
Saitama-ken,Wako,"",79992
Saitama-ken,Niiza,"",163153
Saitama-ken,Okegawa,"",75207
Saitama-ken,Kuki,"",154694
Saitama-ken,Kitamoto,"",68657
Saitama-ken,Yashio,"",85572
Saitama-ken,Fujimi,"",109164
Saitama-ken,Misato,"",136798
Saitama-ken,Hasuda,"",62773
Saitama-ken,Sakado,"",101219
Saitama-ken,Satte,"",53096
Saitama-ken,Tsurugashima,"",70184
Saitama-ken,Hidaka,"",57249
Saitama-ken,Yoshikawa,"",69871
Saitama-ken,Fujimino,"",111920
Saitama-ken,Shiraoka,"",51688
"",Shiraoka,"",""
Chiba-ken,Chiba,"",962376
Chiba-ken,Chiba,Chuo-ku,201427
Chiba-ken,Chiba,Hanamigawa-ku,178030
Chiba-ken,Chiba,Inage-ku,156455
Chiba-ken,Chiba,Wakaba-ku,150616
Chiba-ken,Chiba,Midori-ku,126752
Chiba-ken,Chiba,Mihama-ku,149096
Chiba-ken,Choshi,"",66882
Chiba-ken,Ichikawa,"",472757
Chiba-ken,Funabashi,"",622988
Chiba-ken,Tateyama,"",48749
Chiba-ken,Kisarazu,"",133064
Chiba-ken,Matsudo,"",487376
Chiba-ken,Noda,"",155900
Chiba-ken,Mobara,"",91855
Chiba-ken,Narita,"",131418
Chiba-ken,Sakura,"",177601
Chiba-ken,Togane,"",60424
Chiba-ken,Asahi,"",68020
Chiba-ken,Narashino,"",166523
Chiba-ken,Kashiwa,"",406281
Chiba-ken,Katsuura,"",19583
Chiba-ken,Ichihara,"",280340
Chiba-ken,Nagareyama,"",172659
Chiba-ken,Yachiyo,"",194101
Chiba-ken,Abiko,"",133216
Chiba-ken,Kamogawa,"",34881
Chiba-ken,Kamagaya,"",109562
Chiba-ken,Kimitsu,"",88126
Chiba-ken,Futtsu,"",47108
Chiba-ken,Urayasu,"",162914
Chiba-ken,Yotsukaido,"",91340
Chiba-ken,Sodegaura,"",62022
Chiba-ken,Yachimata,"",73449
Chiba-ken,Inzai,"",93722
Chiba-ken,Shiroi,"",62761
Chiba-ken,Tomisato,"",49972
Chiba-ken,Minamiboso,"",41034
Chiba-ken,Sosa,"",38755
Chiba-ken,Katori,"",81065
Chiba-ken,Sammu,"",54904
Chiba-ken,Isumi,"",40502
Chiba-ken,Oamishirasato,"",50714
"",Oamishirasato,"",""
Tokyo-to,Ku-area,"",9102598
Tokyo-to,Ku-area,Chiyoda-ku,56873
Tokyo-to,Ku-area,Chuo-ku,138088
Tokyo-to,Ku-area,Minato-ku,240585
Tokyo-to,Ku-area,Shinjuku-ku,327712
Tokyo-to,Ku-area,Bunkyo-ku,207413
Tokyo-to,Ku-area,Taito-ku,189795
Tokyo-to,Ku-area,Sumida-ku,258423
Tokyo-to,Ku-area,Koto-ku,493952
Tokyo-to,Ku-area,Shinagawa-ku,372077
Tokyo-to,Ku-area,Meguro-ku,269689
Tokyo-to,Ku-area,Ota-ku,707455
Tokyo-to,Ku-area,Setagaya-ku,874332
Tokyo-to,Ku-area,Shibuya-ku,217008
Tokyo-to,Ku-area,Nakano-ku,316625
Tokyo-to,Ku-area,Suginami-ku,547165
Tokyo-to,Ku-area,Toshima-ku,275507
Tokyo-to,Ku-area,Kita-ku,338084
Tokyo-to,Ku-area,Arakawa-ku,209087
Tokyo-to,Ku-area,Itabashi-ku,544172
Tokyo-to,Ku-area,Nerima-ku,714656
Tokyo-to,Ku-area,Adachi-ku,674111
Tokyo-to,Ku-area,Katsushika-ku,449527
Tokyo-to,Ku-area,Edogawa-ku,680262
Tokyo-to,Hachioji,"",562572
Tokyo-to,Tachikawa,"",179090
Tokyo-to,Musashino,"",142138
Tokyo-to,Mitaka,"",182092
Tokyo-to,Ome,"",137052
Tokyo-to,Fuchu,"",254551
Tokyo-to,Akishima,"",112727
Tokyo-to,Chofu,"",224191
Tokyo-to,Machida,"",426648
Tokyo-to,Koganei,"",117427
Tokyo-to,Kodaira,"",186958
Tokyo-to,Hino,"",180975
Tokyo-to,Higashimurayama,"",151412
Tokyo-to,Kokubunji,"",119379
Tokyo-to,Kunitachi,"",74558
Tokyo-to,Fussa,"",58553
Tokyo-to,Komae,"",79096
Tokyo-to,Higashiyamato,"",86162
Tokyo-to,Kiyose,"",74374
Tokyo-to,Higashikurume,"",116494
Tokyo-to,Musashimurayama,"",72092
Tokyo-to,Tama,"",147486
Tokyo-to,Inagi,"",86594
Tokyo-to,Hamura,"",56604
Tokyo-to,Akiruno,"",81697
Tokyo-to,Nishitokyo,"",198267
"",Nishitokyo,"",""
Kanagawa-ken,Yokohama,"",3722250
Kanagawa-ken,Yokohama,Tsurumi-ku,285865
Kanagawa-ken,Yokohama,Kanagawa-ku,232178
Kanagawa-ken,Yokohama,Nishi-ku,97533
Kanagawa-ken,Yokohama,Naka-ku,149691
Kanagawa-ken,Yokohama,Minami-ku,198894
Kanagawa-ken,Yokohama,Hodogaya-ku,204354
Kanagawa-ken,Yokohama,Isogo-ku,166263
Kanagawa-ken,Yokohama,Kanazawa-ku,203406
Kanagawa-ken,Yokohama,Kohoku-ku,336942
Kanagawa-ken,Yokohama,Totsuka-ku,275856
Kanagawa-ken,Yokohama,Konan-ku,217823
Kanagawa-ken,Yokohama,Asahi-ku,249908
Kanagawa-ken,Yokohama,Midori-ku,178888
Kanagawa-ken,Yokohama,Seya-ku,126580
Kanagawa-ken,Yokohama,Sakae-ku,123956
Kanagawa-ken,Yokohama,Izumi-ku,155825
Kanagawa-ken,Yokohama,Aoba-ku,307497
Kanagawa-ken,Yokohama,Tsuzuki-ku,210791
Kanagawa-ken,Kawasaki,"",1445484
Kanagawa-ken,Kawasaki,Kawasaki-ku,222865
Kanagawa-ken,Kawasaki,Saiwai-ku,159434
Kanagawa-ken,Kawasaki,Nakahara-ku,240075
Kanagawa-ken,Kawasaki,Takatsu-ku,221567
Kanagawa-ken,Kawasaki,Tama-ku,204350
Kanagawa-ken,Kawasaki,Miyamae-ku,224570
Kanagawa-ken,Kawasaki,Asao-ku,172623
Kanagawa-ken,Sagamihara,"",715145
Kanagawa-ken,Sagamihara,Midori-ku,173514
Kanagawa-ken,Sagamihara,Chuo-ku,268209
Kanagawa-ken,Sagamihara,Minami-ku,273422
Kanagawa-ken,Yokosuka,"",418277
Kanagawa-ken,Hiratsuka,"",258065
Kanagawa-ken,Kamakura,"",177458
Kanagawa-ken,Fujisawa,"",423246
Kanagawa-ken,Odawara,"",195353
Kanagawa-ken,Chigasaki,"",240428
Kanagawa-ken,Zushi,"",60070
Kanagawa-ken,Miura,"",46520
Kanagawa-ken,Hadano,"",164366
Kanagawa-ken,Atsugi,"",225342
Kanagawa-ken,Yamato,"",233586
Kanagawa-ken,Isehara,"",99539
Kanagawa-ken,Ebina,"",130077
Kanagawa-ken,Zama,"",129767
Kanagawa-ken,Minamiashigara,"",44036
Kanagawa-ken,Ayase,"",85414
"",Ayase,"",""
Niigata-ken,Niigata,"",804413
Niigata-ken,Niigata,Kita-ku,76686
Niigata-ken,Niigata,Higashi-ku,139070
Niigata-ken,Niigata,Chuo-ku,176730
Niigata-ken,Niigata,Konan-ku,69315
Niigata-ken,Niigata,Akiha-ku,78131
Niigata-ken,Niigata,Minami-ku,46511
Niigata-ken,Niigata,Nishi-ku,157974
Niigata-ken,Niigata,Nishikan-ku,59996
Niigata-ken,Nagaoka,"",278923
Niigata-ken,Sanjo,"",101775
Niigata-ken,Kashiwazaki,"",88282
Niigata-ken,Shibata,"",101037
Niigata-ken,Ojiya,"",37620
Niigata-ken,Kamo,"",29216
Niigata-ken,Tokamachi,"",57164
Niigata-ken,Mitsuke,"",41767
Niigata-ken,Murakami,"",64617
Niigata-ken,Tsubame,"",82248
Niigata-ken,Itoigawa,"",45843
Niigata-ken,Myoko,"",34577
Niigata-ken,Gosen,"",53456
Niigata-ken,Joetsu,"",200179
Niigata-ken,Agano,"",44756
Niigata-ken,Sado,"",59606
Niigata-ken,Uonuma,"",38914
Niigata-ken,Minamiuonuma,"",59636
Niigata-ken,Tainai,"",30827
"",Tainai,"",""
Toyama-ken,Toyama,"",419849
Toyama-ken,Takaoka,"",175719
Toyama-ken,Uozu,"",43555
Toyama-ken,Himi,"",50599
Toyama-ken,Namerikawa,"",33681
Toyama-ken,Kurobe,"",42108
Toyama-ken,Tonami,"",49406
Toyama-ken,Oyabe,"",31303
Toyama-ken,Nanto,"",53795
Toyama-ken,Imizu,"",94701
"",Imizu,"",""
Ishikawa-ken,Kanazawa,"",453081
Ishikawa-ken,Nanao,"",56195
Ishikawa-ken,Komatsu,"",108823
Ishikawa-ken,Wajima,"",29411
Ishikawa-ken,Suzu,"",15951
Ishikawa-ken,Kaga,"",70273
Ishikawa-ken,Hakui,"",22831
Ishikawa-ken,Kahoku,"",35030
Ishikawa-ken,Hakusan,"",112692
Ishikawa-ken,Nomi,"",49818
Ishikawa-ken,Nonoichi,"",51126
"",Nonoichi,"",""
Fukui-ken,Fukui,"",267355
Fukui-ken,Tsuruga,"",67835
Fukui-ken,Obama,"",30590
Fukui-ken,Ono,"",35251
Fukui-ken,Katsuyama,"",24880
Fukui-ken,Sabae,"",68963
Fukui-ken,Awara,"",29359
Fukui-ken,Awara,Echizen,83767
Fukui-ken,Sakai,"",93531
"",Sakai,"",""
Yamanashi-ken,Kofu,"",193570
Yamanashi-ken,Fujiyoshida,"",50891
Yamanashi-ken,Tsuru,"",31781
Yamanashi-ken,Yamanashi,"",36717
Yamanashi-ken,Otsuki,"",26496
Yamanashi-ken,Nirasaki,"",30752
Yamanashi-ken,Minamiarupusu,"",72900
Yamanashi-ken,Hokuto,"",48543
Yamanashi-ken,Kai,"",74811
Yamanashi-ken,Fuefuki,"",71038
Yamanashi-ken,Uenohara,"",25166
Yamanashi-ken,Koshu,"",33731
Yamanashi-ken,Chuo,"",31172
"",Chuo,"",""
Nagano-ken,Nagano,"",384428
Nagano-ken,Matsumoto,"",242446
Nagano-ken,Ueda,"",160267
Nagano-ken,Okaya,"",51720
Nagano-ken,Iida,"",104792
Nagano-ken,Suwa,"",51162
Nagano-ken,Suzaka,"",51990
Nagano-ken,Komoro,"",43506
Nagano-ken,Ina,"",69858
Nagano-ken,Komagane,"",33553
Nagano-ken,Nakano,"",46088
Nagano-ken,Omachi,"",29238
Nagano-ken,Iiyama,"",22764
Nagano-ken,Chino,"",56346
Nagano-ken,Shiojiri,"",67666
Nagano-ken,Saku,"",99919
Nagano-ken,Chikuma,"",61861
Nagano-ken,Tomi,"",30936
Nagano-ken,Azumino,"",98630
"",Azumino,"",""
Gifu-ken,Gifu,"",415520
Gifu-ken,Ogaki,"",162847
Gifu-ken,Takayama,"",91571
Gifu-ken,Tajimi,"",114215
Gifu-ken,Seki,"",91494
Gifu-ken,Nakatsugawa,"",81613
Gifu-ken,Mino,"",22017
Gifu-ken,Mizunami,"",39334
Gifu-ken,Hashima,"",68695
Gifu-ken,Ena,"",53052
Gifu-ken,Minokamo,"",55433
Gifu-ken,Toki,"",60401
Gifu-ken,Kakamigahara,"",148486
Gifu-ken,Kani,"",100944
Gifu-ken,Yamagata,"",28798
Gifu-ken,Mizuho,"",53225
Gifu-ken,Hida,"",25903
Gifu-ken,Motosu,"",35405
Gifu-ken,Gujo,"",44499
Gifu-ken,Gero,"",34976
Gifu-ken,Kaizu,"",36905
"",Kaizu,"",""
Shizuoka-ken,Shizuoka,"",715752
Shizuoka-ken,Shizuoka,Aoi-ku,258380
Shizuoka-ken,Shizuoka,Suruga-ku,212354
Shizuoka-ken,Shizuoka,Shimizu-ku,245018
Shizuoka-ken,Hamamatsu,"",810317
Shizuoka-ken,Hamamatsu,Naka-ku,240396
Shizuoka-ken,Hamamatsu,Higashi-ku,129784
