prefecture,city,ward,population
Shizuoka-ken,Hamamatsu,Nishi-ku,113428
Shizuoka-ken,Hamamatsu,Minami-ku,103530
Shizuoka-ken,Hamamatsu,Kita-ku,94604
Shizuoka-ken,Hamamatsu,Hamakita-ku,96613
Shizuoka-ken,Hamamatsu,Tenryu-ku,31962
Shizuoka-ken,Numazu,"",202612
Shizuoka-ken,Atami,"",38442
Shizuoka-ken,Mishima,"",111912
Shizuoka-ken,Fujinomiya,"",135034
Shizuoka-ken,Ito,"",72134
Shizuoka-ken,Shimada,"",100921
Shizuoka-ken,Fuji,"",257697
Shizuoka-ken,Iwata,"",170612
Shizuoka-ken,Yaizu,"",143008
Shizuoka-ken,Kakegawa,"",117681
Shizuoka-ken,Fujieda,"",146725
Shizuoka-ken,Gotemba,"",89231
Shizuoka-ken,Fukuroi,"",87163
Shizuoka-ken,Shimoda,"",23656
Shizuoka-ken,Susono,"",53275
Shizuoka-ken,Kosai,"",61195
Shizuoka-ken,Izu,"",32958
Shizuoka-ken,Omaezaki,"",34017
Shizuoka-ken,Kikugawa,"",47837
Shizuoka-ken,Izunokuni,"",49904
Shizuoka-ken,Makinohara,"",47754
"",Makinohara,"",""
Aichi-ken,Nagoya,"",2260440
Aichi-ken,Nagoya,Chikusa-ku,157597
Aichi-ken,Nagoya,Higashi-ku,74522
Aichi-ken,Nagoya,Kita-ku,163512
Aichi-ken,Nagoya,Nishi-ku,144932
Aichi-ken,Nagoya,Nakamura-ku,132452
Aichi-ken,Nagoya,Naka-ku,79754
Aichi-ken,Nagoya,Showa-ku,101160
Aichi-ken,Nagoya,Mizuho-ku,105061
Aichi-ken,Nagoya,Atsuta-ku,64599
Aichi-ken,Nagoya,Nakagawa-ku,219572
Aichi-ken,Nagoya,Minato-ku,148765
Aichi-ken,Nagoya,Minami-ku,138367
Aichi-ken,Nagoya,Moriyama-ku,171813
Aichi-ken,Nagoya,Midori-ku,241907
Aichi-ken,Nagoya,Meito-ku,160762
Aichi-ken,Nagoya,Tempaku-ku,155665
Aichi-ken,Toyohashi,"",378890
Aichi-ken,Okazaki,"",380537
Aichi-ken,Ichinomiya,"",386538
Aichi-ken,Seto,"",131380
Aichi-ken,Handa,"",118783
Aichi-ken,Kasugai,"",310495
Aichi-ken,Toyokawa,"",185111
Aichi-ken,Tsushima,"",64450
Aichi-ken,Hekinan,"",71739
Aichi-ken,Kariya,"",148669
Aichi-ken,Toyota,"",421701
Aichi-ken,Anjo,"",184892
Aichi-ken,Nishio,"",170159
Aichi-ken,Gamagori,"",81717
Aichi-ken,Inuyama,"",74780
Aichi-ken,Tokoname,"",57780
Aichi-ken,Konan,"",101204
Aichi-ken,Komaki,"",153744
Aichi-ken,Inazawa,"",138526
Aichi-ken,Shinshiro,"",49112
Aichi-ken,Tokai,"",112694
Aichi-ken,Obu,"",89049
Aichi-ken,Chita,"",85742
Aichi-ken,Chiryu,"",70555
Aichi-ken,Owariasahi,"",82359
Aichi-ken,Takahama,"",46295
Aichi-ken,Iwakura,"",47693
Aichi-ken,Toyoake,"",68530
Aichi-ken,Nissin,"",86962
Aichi-ken,Tahara,"",64721
Aichi-ken,Aisai,"",65237
Aichi-ken,Kiyosu,"",66707
Aichi-ken,Kitanagoya,"",83846
Aichi-ken,Yatomi,"",44481
Aichi-ken,Miyoshi,"",59748
Aichi-ken,Ama,"",88364
Aichi-ken,Nagakute,"",54480
"",Nagakute,"",""
Mie-ken,Tsu,"",284620
Mie-ken,Yokkaichi,"",312753
Mie-ken,Ise,"",130865
Mie-ken,Matsusaka,"",168682
Mie-ken,Kuwana,"",142808
Mie-ken,Suzuka,"",201035
Mie-ken,Nabari,"",81014
Mie-ken,Owase,"",19587
Mie-ken,Kameyama,"",50054
Mie-ken,Toba,"",20445
Mie-ken,Kumano,"",18340
Mie-ken,Inabe,"",46245
Mie-ken,Shima,"",53969
Mie-ken,Iga,"",95743
"",Iga,"",""
Shiga-ken,Otsu,"",342832
Shiga-ken,Hikone,"",112750
Shiga-ken,Nagahama,"",121818
Shiga-ken,Omihachiman,"",82498
Shiga-ken,Kusatsu,"",128843
Shiga-ken,Moriyama,"",80684
Shiga-ken,Ritto,"",67284
Shiga-ken,Koka,"",92836
Shiga-ken,Yasu,"",50867
Shiga-ken,Konan,"",54953
Shiga-ken,Takashima,"",51598
Shiga-ken,Higashiomi,"",115704
Shiga-ken,Maibara,"",40128
"",Maibara,"",""
Kyoto-fu,Kyoto,"",1419474
Kyoto-fu,Kyoto,Kita-ku,112006
Kyoto-fu,Kyoto,Kamigyo-ku,76947
Kyoto-fu,Kyoto,Sakyo-ku,156069
Kyoto-fu,Kyoto,Nakagyo-ku,104345
Kyoto-fu,Kyoto,Higashiyama-ku,37183
Kyoto-fu,Kyoto,Shimogyo-ku,76814
Kyoto-fu,Kyoto,Minami-ku,98433
Kyoto-fu,Kyoto,Ukyo-ku,195921
Kyoto-fu,Kyoto,Fushimi-ku,278230
Kyoto-fu,Kyoto,Yamashina-ku,131699
Kyoto-fu,Kyoto,Nishikyo-ku,151827
Kyoto-fu,Fukuchiyama,"",80682
Kyoto-fu,Maizuru,"",86996
Kyoto-fu,Ayabe,"",35419
Kyoto-fu,Uji,"",190856
Kyoto-fu,Miyazu,"",19452
Kyoto-fu,Kameoka,"",91548
Kyoto-fu,Joyo,"",78560
Kyoto-fu,Muko,"",54340
Kyoto-fu,Nagaokakyo,"",80222
Kyoto-fu,Yawata,"",73038
Kyoto-fu,Kyotanabe,"",66697
Kyoto-fu,Kyotango,"",58514
Kyoto-fu,Nantan,"",33418
Kyoto-fu,Kizugawa,"",73095
"",Kizugawa,"",""
Osaka-fu,Osaka,"",2670766
Osaka-fu,Osaka,Miyakojima-ku,102667
Osaka-fu,Osaka,Fukushima-ku,70410
Osaka-fu,Osaka,Konohana-ku,67821
Osaka-fu,Osaka,Nishi-ku,88140
Osaka-fu,Osaka,Minato-ku,82696
Osaka-fu,Osaka,Taisho-ku,67941
Osaka-fu,Osaka,Tennoji-ku,72229
Osaka-fu,Osaka,Naniwa-ku,62281
Osaka-fu,Osaka,Nishiyodogawa-ku,97224
Osaka-fu,Osaka,Higashiyodogawa-ku,171422
Osaka-fu,Osaka,Higashinari-ku,80817
Osaka-fu,Osaka,Ikuno-ku,128523
Osaka-fu,Osaka,Asahi-ku,91407
Osaka-fu,Osaka,Joto-ku,167214
Osaka-fu,Osaka,Abeno-ku,107407
Osaka-fu,Osaka,Sumiyoshi-ku,153907
Osaka-fu,Osaka,Higashisumiyoshi-ku,130951
Osaka-fu,Osaka,Nishinari-ku,110413
Osaka-fu,Osaka,Yodogawa-ku,172081
Osaka-fu,Osaka,Tsurumi-ku,112630
Osaka-fu,Osaka,Suminoe-ku,125063
Osaka-fu,Osaka,Hirano-ku,200797
Osaka-fu,Osaka,Kita-ku,114894
Osaka-fu,Osaka,Chuo-ku,91831
Osaka-fu,Sakai,"",847719
Osaka-fu,Sakai,Sakai-ku,146366
Osaka-fu,Sakai,Naka-ku,125225
Osaka-fu,Sakai,Higashi-ku,87279
Osaka-fu,Sakai,Nishi-ku,138480
Osaka-fu,Sakai,Minami-ku,151991
Osaka-fu,Sakai,Kita-ku,158578
Osaka-fu,Sakai,Mihara-ku,39800
Osaka-fu,Kishiwada,"",200148
Osaka-fu,Toyonaka,"",401007
Osaka-fu,Ikeda,"",102625
Osaka-fu,Suita,"",362845
Osaka-fu,Izumiotsu,"",76263
Osaka-fu,Takatsuki,"",355515
Osaka-fu,Kaizuka,"",89876
Osaka-fu,Moriguchi,"",145037
Osaka-fu,Hirakata,"",407528
Osaka-fu,Ibaraki,"",278782
Osaka-fu,Yao,"",269594
Osaka-fu,Izumisano,"",101343
Osaka-fu,Tondabayashi,"",115931
Osaka-fu,Neyagawa,"",240653
Osaka-fu,Kawachinagano,"",110975
Osaka-fu,Matsubara,"",122910
Osaka-fu,Daito,"",124150
Osaka-fu,Izumi,"",187434
Osaka-fu,Minoh,"",135153
Osaka-fu,Kashiwara,"",72116
Osaka-fu,Habikino,"",115127
Osaka-fu,Kadoma,"",126603
Osaka-fu,Settsu,"",85275
Osaka-fu,Takaishi,"",58315
Osaka-fu,Fujiidera,"",66542
Osaka-fu,Higashiosaka,"",498814
Osaka-fu,Sennan,"",63953
Osaka-fu,Shijonawate,"",56569
Osaka-fu,Katano,"",78055
Osaka-fu,Osakasayama,"",57793
Osaka-fu,Hannan,"",56975
"",Hannan,"",""
Hyogo-ken,Kobe,"",1550831
Hyogo-ken,Kobe,Higashinada-ku,213281
Hyogo-ken,Kobe,Nada-ku,132560
Hyogo-ken,Kobe,Hyogo-ku,108923
Hyogo-ken,Kobe,Nagata-ku,101632
Hyogo-ken,Kobe,Suma-ku,166348
Hyogo-ken,Kobe,Tarumi-ku,224729
Hyogo-ken,Kobe,Kita-ku,225677
Hyogo-ken,Kobe,Chuo-ku,129102
Hyogo-ken,Kobe,Nishi-ku,248579
Hyogo-ken,Himeji,"",543083
Hyogo-ken,Amagasaki,"",465236
Hyogo-ken,Akashi,"",297547
Hyogo-ken,Nishinomiya,"",483455
Hyogo-ken,Sumoto,"",46524
Hyogo-ken,Ashiya,"",97096
Hyogo-ken,Itami,"",201912
Hyogo-ken,Aioi,"",30660
Hyogo-ken,Toyooka,"",85749
Hyogo-ken,Kakogawa,"",270589
Hyogo-ken,Nishiwaki,"",42520
Hyogo-ken,Takarazuka,"",234003
Hyogo-ken,Miki,"",79763
Hyogo-ken,Takasago,"",93769
Hyogo-ken,Kawanishi,"",160676
Hyogo-ken,Ono,"",49707
Hyogo-ken,Sanda,"",114628
Hyogo-ken,Kasai,"",45842
Hyogo-ken,Sasayama,"",43364
Hyogo-ken,Yabu,"",25566
Hyogo-ken,Tamba,"",67551
Hyogo-ken,Minamiawaji,"",49847
Hyogo-ken,Asago,"",32274
Hyogo-ken,Awaji,"",46386
Hyogo-ken,Shiso,"",40744
Hyogo-ken,Kato,"",39814
Hyogo-ken,Tatsuno,"",79344
"",Tatsuno,"",""
Nara-ken,Nara,"",363756
Nara-ken,Yamatotakada,"",68139
Nara-ken,Yamatokoriyama,"",88732
Nara-ken,Tenri,"",67505
Nara-ken,Kashihara,"",124779
Nara-ken,Sakurai,"",59424
Nara-ken,Gojo,"",33110
Nara-ken,Gose,"",27979
Nara-ken,Ikoma,"",121013
Nara-ken,Kashiba,"",78297
Nara-ken,Katsuragi,"",37059
Nara-ken,Uda,"",32983
"",Uda,"",""
Wakayama-ken,Wakayama,"",377208
Wakayama-ken,Kainan,"",54100
Wakayama-ken,Hashimoto,"",65664
Wakayama-ken,Arida,"",30215
Wakayama-ken,Gobo,"",24980
Wakayama-ken,Tanabe,"",78661
Wakayama-ken,Shingu,"",30929
Wakayama-ken,Kinokawa,"",65982
Wakayama-ken,Iwade,"",53677
"",Iwade,"",""
Tottori-ken,Tottori,"",193064
Tottori-ken,Yonago,"",149857
Tottori-ken,Kurayoshi,"",49277
Tottori-ken,Sakaiminato,"",35699
"",Sakaiminato,"",""
Shimane-ken,Matsue,"",205725
Shimane-ken,Hamada,"",57504
Shimane-ken,Izumo,"",174731
Shimane-ken,Masuda,"",49281
Shimane-ken,Oda,"",37257
Shimane-ken,Yasugi,"",40786
Shimane-ken,Gotsu,"",25044
Shimane-ken,Unnan,"",40962
"",Unnan,"",""
Okayama-ken,Okayama,"",706027
Okayama-ken,Okayama,Kita-ku,293160
Okayama-ken,Okayama,Naka-ku,145029
Okayama-ken,Okayama,Higashi-ku,97248
Okayama-ken,Okayama,Minami-ku,170590
Okayama-ken,Kurashiki,"",483722
Okayama-ken,Tsuyama,"",104717
Okayama-ken,Tamano,"",62863
Okayama-ken,Kasaoka,"",51907
Okayama-ken,Ibara,"",42787
Okayama-ken,Soja,"",67867
Okayama-ken,Takahashi,"",32948
Okayama-ken,Niimi,"",31991
Okayama-ken,Bizen,"",37050
Okayama-ken,Setouchi,"",38524
Okayama-ken,Akaiwa,"",44827
Okayama-ken,Maniwa,"",48544
Okayama-ken,Mimasaka,"",29813
Okayama-ken,Asakuchi,"",35688
"",Asakuchi,"",""
Hiroshima-ken,Hiroshima,"",1188398
Hiroshima-ken,Hiroshima,Naka-ku,129158
Hiroshima-ken,Hiroshima,Higashi-ku,121365
Hiroshima-ken,Hiroshima,Minami-ku,140902
Hiroshima-ken,Hiroshima,Nishi-ku,188507
Hiroshima-ken,Hiroshima,Asaminami-ku,239695
Hiroshima-ken,Hiroshima,Asakita-ku,150355
Hiroshima-ken,Hiroshima,Aki-ku,80789
Hiroshima-ken,Hiroshima,Saeki-ku,137627
Hiroshima-ken,Kure,"",235624
Hiroshima-ken,Takehara,"",27783
Hiroshima-ken,Mihara,"",98731
Hiroshima-ken,Onomichi,"",143516
Hiroshima-ken,Fukuyama,"",472354
Hiroshima-ken,Fuchu,"",41747
Hiroshima-ken,Miyoshi,"",55302
Hiroshima-ken,Shobara,"",38277
Hiroshima-ken,Otake,"",28266
Hiroshima-ken,Higashihiroshima,"",184599
Hiroshima-ken,Hatsukaichi,"",117312
Hiroshima-ken,Akitakata,"",30546
Hiroshima-ken,Etajima,"",25515
"",Etajima,"",""
Yamaguchi-ken,Shimonoseki,"",275242
Yamaguchi-ken,Ube,"",170552
Yamaguchi-ken,Yamaguchi,"",194875
Yamaguchi-ken,Hagi,"",51587
Yamaguchi-ken,Hofu,"",118110
Yamaguchi-ken,Kudamatsu,"",56280
Yamaguchi-ken,Iwakuni,"",141651
Yamaguchi-ken,Hikari,"",53050
Yamaguchi-ken,Nagato,"",36786
Yamaguchi-ken,Yanai,"",33840
Yamaguchi-ken,Mine,"",26584
Yamaguchi-ken,Shunan,"",148470
Yamaguchi-ken,Sanyoonoda,"",64598
"",Sanyoonoda,"",""
Tokushima-ken,Tokushima,"",257104
Tokushima-ken,Naruto,"",60784
Tokushima-ken,Komatsushima,"",40104
Tokushima-ken,Anan,"",76219
Tokushima-ken,Yoshinogawa,"",43504
Tokushima-ken,Awa,"",39777
Tokushima-ken,Mima,"",31321
Tokushima-ken,Miyoshi,"",28975
"",Miyoshi,"",""
Kagawa-ken,Takamatsu,"",429276
Kagawa-ken,Marugame,"",113481
Kagawa-ken,Sakaide,"",55267
Kagawa-ken,Zentsuji,"",32975
Kagawa-ken,Kanonji,"",62601
Kagawa-ken,Sanuki,"",51526
Kagawa-ken,Higashikagawa,"",33010
Kagawa-ken,Mitoyo,"",68765
"",Mitoyo,"",""
Ehime-ken,Matsuyama,"",517462
Ehime-ken,Imabari,"",166059
Ehime-ken,Uwajima,"",81730
Ehime-ken,Yawatahama,"",36710
Ehime-ken,Niihama,"",123330
Ehime-ken,Saijo,"",112959
Ehime-ken,Ozu,"",46311
Ehime-ken,Iyo,"",38544
Ehime-ken,Shikokuchuo,"",90977
Ehime-ken,Seiyo,"",41119
Ehime-ken,Toon,"",34150
"",Toon,"",""
Kochi-ken,Kochi,"",337412
Kochi-ken,Muroto,"",14917
Kochi-ken,Aki,"",18655
Kochi-ken,Nankoku,"",48471
Kochi-ken,Tosa,"",28331
Kochi-ken,Susaki,"",23488
Kochi-ken,Sukumo,"",21899
Kochi-ken,Tosashimizu,"",15136
Kochi-ken,Shimanto,"",35401
Kochi-ken,Konan,"",34161
Kochi-ken,Kami,"",27171
"",Kami,"",""
Fukuoka-ken,Kitakyushu,"",976925
Fukuoka-ken,Kitakyushu,Moji-ku,103712
Fukuoka-ken,Kitakyushu,Wakamatsu-ku,85579
Fukuoka-ken,Kitakyushu,Tobata-ku,59423
Fukuoka-ken,Kitakyushu,Kokurakita-ku,181681
Fukuoka-ken,Kitakyushu,Kokuraminami-ku,215867
Fukuoka-ken,Kitakyushu,Yahatahigashi-ku,70565
Fukuoka-ken,Kitakyushu,Yahatanishi-ku,260098
Fukuoka-ken,Fukuoka,"",1486314
Fukuoka-ken,Fukuoka,Higashi-ku,297757
Fukuoka-ken,Fukuoka,Hakata-ku,215202
Fukuoka-ken,Fukuoka,Chuo-ku,179218
Fukuoka-ken,Fukuoka,Minami-ku,253692
Fukuoka-ken,Fukuoka,Nishi-ku,201376
Fukuoka-ken,Fukuoka,Jonan-ku,123487
Fukuoka-ken,Fukuoka,Sawara-ku,215582
Fukuoka-ken,Omuta,"",120921
Fukuoka-ken,Kurume,"",306173
Fukuoka-ken,Nogata,"",58061
Fukuoka-ken,Iizuka,"",131209
Fukuoka-ken,Tagawa,"",49830
Fukuoka-ken,Yanagawa,"",69570
Fukuoka-ken,Yame,"",67245
Fukuoka-ken,Chikugo,"",49146
Fukuoka-ken,Okawa,"",36177
Fukuoka-ken,Yukuhashi,"",72840
Fukuoka-ken,Buzen,"",26912
Fukuoka-ken,Nakama,"",43685
Fukuoka-ken,Ogori,"",59507
Fukuoka-ken,Chikushino,"",102421
Fukuoka-ken,Kasuga,"",112372
Fukuoka-ken,Onojo,"",99352
Fukuoka-ken,Munakata,"",96806
Fukuoka-ken,Dazaifu,"",71586
Fukuoka-ken,Koga,"",58370
Fukuoka-ken,Fukutsu,"",59091
Fukuoka-ken,Ukiha,"",31389
Fukuoka-ken,Miyawaka,"",29234
Fukuoka-ken,Kama,"",41302
Fukuoka-ken,Asakura,"",56115
Fukuoka-ken,Miyama,"",39561
Fukuoka-ken,Itoshima,"",100139
"",Itoshima,"",""
Saga-ken,Saga,"",235845
Saga-ken,Karatsu,"",127536
Saga-ken,Tosu,"",72032
Saga-ken,Taku,"",20519
Saga-ken,Imari,"",56934
Saga-ken,Takeo,"",50359
Saga-ken,Kashima,"",30829
Saga-ken,Ogi,"",46003
Saga-ken,Ureshino,"",27703
Saga-ken,Kanzaki,"",32569
"",Kanzaki,"",""
Nagasaki-ken,Nagasaki,"",436576
Nagasaki-ken,Sasebo,"",260110
Nagasaki-ken,Shimabara,"",47409
Nagasaki-ken,Isahaya,"",140569
Nagasaki-ken,Omura,"",94344
Nagasaki-ken,Hirado,"",33822
Nagasaki-ken,Matsuura,"",24413
Nagasaki-ken,Tsushima,"",33000
Nagasaki-ken,Iki,"",28493
Nagasaki-ken,Goto,"",39614
Nagasaki-ken,Saikai,"",29942
Nagasaki-ken,Unzen,"",46437
Nagasaki-ken,Minamishimabara,"",49625
"",Minamishimabara,"",""
Kumamoto-ken,Kumamoto,"",734917
Kumamoto-ken,Kumamoto,Chuo-ku,176106
Kumamoto-ken,Kumamoto,Higashi-ku,191467
Kumamoto-ken,Kumamoto,Nishi-ku,93308
Kumamoto-ken,Kumamoto,Minami-ku,127857
Kumamoto-ken,Kumamoto,Kita-ku,146179
Kumamoto-ken,Yatsushiro,"",131490
Kumamoto-ken,Hitoyoshi,"",34394
Kumamoto-ken,Arao,"",54824
Kumamoto-ken,Minamata,"",26392
Kumamoto-ken,Tamana,"",68517
Kumamoto-ken,Yamaga,"",54860
Kumamoto-ken,Kikuchi,"",50462
Kumamoto-ken,Uto,"",38071
Kumamoto-ken,Kamiamakusa,"",29746
Kumamoto-ken,Uki,"",61452
Kumamoto-ken,Aso,"",27865
Kumamoto-ken,Amakusa,"",87125
Kumamoto-ken,Koshi,"",58873
"",Koshi,"",""
Oita-ken,Oita,"",478792
Oita-ken,Beppu,"",121100
Oita-ken,Nakatsu,"",85378
Oita-ken,Hita,"",69444
Oita-ken,Saiki,"",76066
Oita-ken,Usuki,"",41017
Oita-ken,Tsukumi,"",19298
Oita-ken,Taketa,"",23851
Oita-ken,Bungotakada,"",23555
Oita-ken,Kitsuki,"",30966
Oita-ken,Usa,"",58879
Oita-ken,Bungoono,"",38643
Oita-ken,Yufu,"",35594
Oita-ken,Kunisaki,"",30413
"",Kunisaki,"",""
Miyazaki-ken,Miyazaki,"",405750
Miyazaki-ken,Miyakonojo,"",169461
Miyazaki-ken,Nobeoka,"",129455
Miyazaki-ken,Nichinan,"",56633
Miyazaki-ken,Kobayashi,"",48088
Miyazaki-ken,Hyuga,"",63347
Miyazaki-ken,Kushima,"",20060
Miyazaki-ken,Saito,"",32058
Miyazaki-ken,Ebino,"",21031
"",Ebino,"",""
Kagoshima-ken,Kagoshima,"",608240
Kagoshima-ken,Kanoya,"",105313
Kagoshima-ken,Makurazaki,"",23006
Kagoshima-ken,Akune,"",22254
Kagoshima-ken,Izumi,"",55432
Kagoshima-ken,Ibusuki,"",43406
Kagoshima-ken,Nishinoomote,"",16417
Kagoshima-ken,Tarumizu,"",16398
Kagoshima-ken,Satsumasendai,"",98347
Kagoshima-ken,Hioki,"",50553
Kagoshima-ken,Soo,"",38963
Kagoshima-ken,Kirishima,"",127671
Kagoshima-ken,Ichikikushikino,"",29836
Kagoshima-ken,Minamisatsuma,"",36782
Kagoshima-ken,Shibushi,"",33096
Kagoshima-ken,Amami,"",45263
Kagoshima-ken,Minamikyushu,"",37825
Kagoshima-ken,Isa,"",28177
Kagoshima-ken,Aira,"",76235
"",Aira,"",""
Okinawa-ken,Naha,"",323184
Okinawa-ken,Ginowan,"",96663
Okinawa-ken,Ishigaki,"",48927
Okinawa-ken,Urasoe,"",114245
Okinawa-ken,Nago,"",62081
Okinawa-ken,Itoman,"",60128
Okinawa-ken,Okinawa,"",139181
Okinawa-ken,Tomigusuku,"",61658
Okinawa-ken,Uruma,"",121521
Okinawa-ken,Miyakojima,"",54706
Okinawa-ken,Nanjo,"",42178
